n	otype	in.subphrase	in.phrase_atom	in.phrase	in.clause_atom	in.clause	in.sentence_atom	in.sentence	in.half_verse	in.verse	in.chapter	in.book	distributional_parent	functional_parent	mother	book	chapter	code	det	dist	dist_unit	domain	freq_lex	freq_occ	function	g_cons	g_cons_utf8	g_lex	g_lex_utf8	g_nme	g_nme_utf8	g_pfm	g_pfm_utf8	g_prs	g_prs_utf8	g_uvf	g_uvf_utf8	g_vbe	g_vbe_utf8	g_vbs	g_vbs_utf8	g_word	g_word_utf8	gloss	gn	instruction	is_root	kind	kq_hybrid	kq_hybrid_utf8	label	language	languageISO	lex	lex0	lex_utf8	lexeme_count	ls	mother_object_type	nametype	nme	nu	number	pargr	pdp	pfm	phono	phono_trailer	prs	prs_gn	prs_nu	prs_ps	ps	qere	qere_trailer	qere_trailer_utf8	qere_utf8	rank_lex	rank_occ	rela	root	sp	st	suffix_gender	suffix_number	suffix_person	tab	trailer	trailer_utf8	txt	typ	uvf	vbe	vbs	verse	voc_lex	voc_lex_utf8	vs	vt
1303617	subphrase		911613	658096	517894	429681	1237644	1173906	607524	1414952	426647	426585			1303614					-4																																							subphrase																					par																			
11232	word	1303617	911613	658096	517894	429681	1237644	1173906	607524	1414952	426647	426585	911613	658096									7562	6236		M	מ	M;-	מֵ													M;-	מֵ	from	NA							Hebrew	hbo	MN	MN	מן		none			n/a	NA	11232		prep	n/a	mē		absent	unknown	unknown	unknown	NA					5	7			prep	NA	unknown	unknown	unknown						absent	n/a	n/a		MIN	מִן	NA	NA
1303615	subphrase	1303617	911613	658096	517894	429681	1237644	1173906	607524	1414952	426647	426585																																															NA																					NA																			
11233	word	1303615	911613	658096	517894	429681	1237644	1173906	607524	1414952	426647	426585	911613	658096									2504	2157		>RY	ארץ	>EREY	אֶרֶץ	/	֜											>E74REY	אֶ֣רֶץ	earth	unknown							Hebrew	hbo	>RY/	>RY	ארץ		none				sg	11233		subs	n/a	ʔˈereṣ	 	absent	unknown	unknown	unknown	NA					22	19			subs	c	unknown	unknown	unknown		 	 			absent	n/a	n/a		>EREY	אֶרֶץ	NA	NA
1303616	subphrase	1303617	911613	658096	517894	429681	1237644	1173906	607524	1414952	426647	426585			11233					-1																																							word																					rec																			
11234	word	1303616	911613	658096	517894	429681	1237644	1173906	607524	1414952	426647	426585	911613	658096									22	4		MWLDTJ	מולדתי	MOWLAD:	מֹולַדְ	/T.	֜תּ			#NAME?	ִי							MO45WLAD:T.IJ01	מֹֽולַדְתִּי֒	offspring	f							Hebrew	hbo	MWLDT/	MWLDT	מולדת		none			T	sg	11234		subs	n/a	mˈôlaḏtî	 	J	unknown	sg	p1	NA					1353	6060			subs	a	unknown	sg	p1		 	 			absent	n/a	n/a		MOWLEDET	מֹולֶדֶת	NA	NA
429682	clause				517895		1237644	1173906	607524	1414952	426647	426585		1173906	429681					-1	clause_atoms	Q																										VC											clause				3																	Coor										?NQ	WxQ0								
517895	clause_atom					429682	1237644	1173906	607524	1414952	426647	426585	1237644	429682	517894			12		-1																										..	FALSE																2222	1.4.1																							7				WxQ0								
658097	phrase		911614		517895	429682	1237644	1173906	607524	1414952	426647	426585		429682					NA		clause_atoms				Conj																																						1																	NA											CP								
911614	phrase_atom			658097	517895	429682	1237644	1173906	607524	1414952	426647	426585	517895	658097					NA		clause_atoms																																										6866																	NA											CP								
