n	otype	in.subphrase	in.phrase_atom	in.phrase	in.clause_atom	in.clause	in.sentence_atom	in.sentence	in.half_verse	in.verse	in.chapter	in.book	distributional_parent	functional_parent	mother	book	chapter	code	det	dist	dist_unit	domain	freq_lex	freq_occ	function	g_cons	g_cons_utf8	g_lex	g_lex_utf8	g_nme	g_nme_utf8	g_pfm	g_pfm_utf8	g_prs	g_prs_utf8	g_uvf	g_uvf_utf8	g_vbe	g_vbe_utf8	g_vbs	g_vbs_utf8	g_word	g_word_utf8	gloss	gn	instruction	is_root	kind	kq_hybrid	kq_hybrid_utf8	label	language	languageISO	lex	lex0	lex_utf8	lexeme_count	ls	mother_object_type	nametype	nme	nu	number	pargr	pdp	pfm	phono	phono_trailer	prs	prs_gn	prs_nu	prs_ps	ps	qere	qere_trailer	qere_trailer_utf8	qere_utf8	rank_lex	rank_occ	rela	root	sp	st	suffix_gender	suffix_number	suffix_person	tab	trailer	trailer_utf8	txt	typ	uvf	vbe	vbs	verse	voc_lex	voc_lex_utf8	vs	vt
5495	word	1302315	907857	654516	516687	428506	1236731	1173001	606943	1414653	426635	426585	907857	654516									22	6		MWLDTK	מולדתך	M.OWLAD:	מֹּולַדְ	/T.	֜תּ			+:K@	ְכָ							M.O45WLAD:T.:K@73	מֹּֽולַדְתְּךָ֖	offspring	f							Hebrew	hbo	MWLDT/	MWLDT	מולדת		none			T	sg	5495		subs	n/a	mmˈôlaḏtᵊḵˌā	 	K	m	sg	p2	NA					1353	4554			subs	a	m	sg	p2		 	 			absent	n/a	n/a		MOWLEDET	מֹולֶדֶת	NA	NA
5496	word		907857	654516	516687	428506	1236731	1173001	606943	1414653	426635	426585	907857	654516									50272	50238		W	ו	W.-	וּ													W.-	וּ	and	NA							Hebrew	hbo	W	W	ו		none			n/a	NA	5496		conj	n/a	û		n/a	NA	NA	NA	NA									conj	NA	NA	NA	NA						absent	n/a	n/a		W:	וְ	NA	NA
1302319	subphrase		907857	654516	516687	428506	1236731	1173001	606943	1414653	426635	426585			1302316					-4																																							subphrase																					par																			
5497	word	1302319	907857	654516	516687	428506	1236731	1173001	606943	1414653	426635	426585	907857	654516									7562	6236		M	מ	MI-	מִ													MI-	מִ	from	NA							Hebrew	hbo	MN	MN	מן		none			n/a	NA	5497		prep	n/a	mi		absent	unknown	unknown	unknown	NA					5	7			prep	NA	unknown	unknown	unknown						absent	n/a	n/a		MIN	מִן	NA	NA
1302317	subphrase	1302319	907857	654516	516687	428506	1236731	1173001	606943	1414653	426635	426585																																															NA																					NA																			
5498	word	1302317	907857	654516	516687	428506	1236731	1173001	606943	1414653	426635	426585	907857	654516									2063	1595		BJT	בית	B.;JT	בֵּית	/	֜											B.;74JT	בֵּ֣ית	house	m							Hebrew	hbo	BJT/	BJT	בית		none				sg	5498		subs	n/a	bbˈêṯ	 	absent	unknown	unknown	unknown	NA					26	24			subs	c	unknown	unknown	unknown		 	 			absent	n/a	n/a		B.AJIT	בַּיִת	NA	NA
1302318	subphrase	1302319	907857	654516	516687	428506	1236731	1173001	606943	1414653	426635	426585			5498					-1																																							word																					rec																			
5499	word	1302318	907857	654516	516687	428506	1236731	1173001	606943	1414653	426635	426585	907857	654516									1217	113		>BJK	אביך	>@B	אָב	/	֜			+K@	כָ	~IJ	ִי					>@BI92JK@	אָבִ֑יךָ	father	m							Hebrew	hbo	>B/	>B	אב		none				sg	5499		subs	n/a	ʔāvˈîḵā	 	K	m	sg	p2	NA					35	374			subs	a	m	sg	p2		 	 			J	n/a	n/a		>@B	אָב	NA	NA
606944	half_verse						1236731	1173001		1414653	426635	426585																																							B																																																
654517	phrase		907858		516687	428506	1236731	1173001	606944	1414653	426635	426585		428506					det		clause_atoms				Cmpl																																						4																	NA											PP								
